iter;tot_exp;exp_01;exp_07;exp_10
146;29089142885.2458;9307842888.48845;2728780753.47853;1369117540.12637
147;28924731829.8502;9317370036.04878;2766209478.62785;1361020076.03875
148;28820025629.2216;9270541153.87332;2714611942.02372;1368614429.01014
149;28647092029.2074;9309887118.04667;2746089079.11764;1378694106.38193
150;28867502795.6064;9284494564.4623;2711006549.94383;1338726382.36952
151;28932572228.7131;9305500900.3367;2712775562.06024;1354043806.77365
152;29159033366.4992;9261957002.17934;2717797628.93326;1359351182.28971
153;28951884344.1989;9270248400.46223;2687709885.46056;1357870514.34127
154;29059804983.3868;9337569472.08625;2761264115.80601;1360247568.39896
155;28941683886.8353;9269585640.18411;2754402370.26813;1357157380.56233
156;28641002778.951;9331196920.68994;2714129384.40384;1363436702.72786
157;28813162896.3951;9338106075.32804;2733728838.2331;1361481717.03332
158;28991021665.5888;9308244701.03484;2733219716.95448;1367942011.40649
159;29145403410.0945;9298641725.57403;2760191843.65178;1348537138.66636
160;28961480311.4141;9255019795.30014;2719122712.76012;1360854008.24326
161;28824808422.0964;9278457645.2168;2713462086.07109;1364657484.57941
162;28995947141.2003;9306345858.88503;2726914021.27992;1369269012.72607
163;28839340430.1628;9330293708.09831;2726360556.40533;1355061044.30817
164;29059965363.4429;9325807537.43249;2717499410.43711;1365944124.9173
165;28977646574.2485;9283086635.03309;2740773282.21652;1355031846.8955
166;28941699236.3044;9274773354.28709;2716322085.29435;1350177576.46186
167;29022747070.5702;9305198311.15082;2697880081.92039;1360342373.91964
168;28843839372.8452;9298258238.40948;2755122806.69596;1344447542.81342
169;28829052610.6913;9284016767.53546;2774876012.93667;1358302200.98269
170;28685661973.8199;9344520337.9147;2734212535.43908;1365739805.79401
171;28901620578.0351;9343180157.0214;2772328522.31996;1347913260.5639
172;28723366396.618;9266610055.17928;2753613282.95585;1363029135.5048
173;29071075752.5568;9298626774.71816;2705127034.70714;1363017348.57141
174;29154615508.1929;9300668102.09014;2694185888.15944;1353722037.70909
175;29066547545.2021;9273962650.4853;2702401030.00574;1360597440.48995
176;28966994269.6749;9293384206.60725;2762593508.13808;1361306838.23833
177;28808381649.0883;9282967725.57714;2699878829.23509;1365982268.24543
178;28999217120.7687;9264062281.96081;2782943690.85429;1350645699.13633
179;28855588262.5836;9304496386.24564;2789567288.73482;1360270943.98484
180;28883319517.1942;9278580537.78718;2735259246.86719;1349579698.51981
181;28939356025.8159;9283308276.53231;2732860542.81965;1358245120.40151
182;28806213752.6497;9259152199.75093;2728458704.7426;1361806537.68919
183;28864833384.533;9273698530.40455;2762379324.32923;1356291497.39788
184;28805758233.1087;9330752315.01118;2693286633.29998;1357038546.30826
185;29043171301.6576;9300072759.60216;2756625084.12014;1360290627.74293
186;28777286262.7379;9306179539.36671;2753634649.98071;1366126996.92501
187;28803643933.9331;9298486751.72177;2698699447.62248;1343194102.34999
188;28941343028.0487;9310963619.58464;2737434831.10145;1366618469.51783
189;29019295399.1661;9287485042.58047;2741177001.53494;1371125588.69741
190;28816483577.4367;9276656437.98793;2734084077.14382;1375117936.09882
191;28952119504.8069;9284543220.46555;2681846863.91259;1340824175.59043
192;28762071699.6522;9279436815.60932;2718157849.9355;1352514488.05604
193;28846068383.5264;9249897763.64916;2703411584.19708;1355021366.2428
194;29009963288.1991;9284330259.9389;2748313489.34914;1370870301.63741
195;28722411065.5199;9293284237.50732;2710178691.48439;1350655061.22207
196;28947990185.3758;9297019406.4894;2748226241.89612;1353737773.19079
